Common name	Species	Stock	LME	Location (based on SPACC designated regions)	MSE / OMP built?	MSE built citation	MSE operational in management?	Covered in ICES/PICES discussion?	Notes
Southwest Australian sardine		Southwest Australia	43	Australia	Yes		Yes	No	cited in de Moor et al. 2011
Australian northern prawn	"Mixed; includes Penaeus spp., Metapenaeus spp., and Fenneropenaeus spp."	Northern Australia	39	Australia	Yes	Dichmont et al. 2006	Probably	No	got from citations in awesome de Moor paper (Who also cites Punt 2006 table of MSE fisheries)
Pacific sardine	Sardinops sagax	Northern subpopulation	3	California Current	Yes	"Hurtado-Ferro, F., Punt, A.E., 2014. Revised Analyses Related to Pacific Sardine Harvest Parameters. Pacific Fishery Management Council, 7700 NE Ambassador Place, Portland, OR. AND Pacific Fishery Management Council, Amendment 8 to the northern anchovy fishery management plan , 1998Portland, ORPacific Fishery Management Council http://www.pcouncil.org/coastal-pelagic-species/fishery-management-plan-and-amendments/
"	Not sure	Yes	from Barange et al. 2009
Small pelagic fishery (includes spps higlighted in green below)	"Mixed; includes redbait Emmelichthys nitidus, blue mackerel Scomber australasicus, jack mackerel Tachurus declivis, Trachurus murphyi, Australian sardine sardinops sagax"	Multiple stocks; Australian Fishing Zone (AFZ): south coast of Australia and Tasmania	NA	Australia	Yes	"Giannini et al. 2008, FRDC Project 2008"	Not sure	No	Giannini et al. 2008 (report) - component species listed below!
Australia sardine	Sardinops sagax	East	NA	Australia	Yes	"Giannini et al. 2008, FRDC Project 2008"	Not sure	No	AFMA - these are all part of the mixed small pelagics fishery in Australia
Blue mackerel	Scomber australasicus	East	NA	Australia	Yes	"Giannini et al. 2008, FRDC Project 2009"	Not sure	No	AFMA - these are all part of the mixed small pelagics fishery in Australia
Blue mackerel	Scomber australasicus	West	NA	Australia	Yes	"Giannini et al. 2008, FRDC Project 2010"	Not sure	No	AFMA - these are all part of the mixed small pelagics fishery in Australia
Jack mackerel	Trachurus declivis	East	NA	Australia	Yes	"Giannini et al. 2008, FRDC Project 2011"	Not sure	No	AFMA - these are all part of the mixed small pelagics fishery in Australia
Jack mackerel	Trachurus declivis	West	NA	Australia	Yes	"Giannini et al. 2008, FRDC Project 2012"	Not sure	No	AFMA - these are all part of the mixed small pelagics fishery in Australia
Redbait	Emmelichthys nitidus	East	NA	Australia	Yes	"Giannini et al. 2008, FRDC Project 2013"	Not sure	No	AFMA - these are all part of the mixed small pelagics fishery in Australia
Redbait	Emmelichthys nitidus	West	NA	Australia	Yes	"Giannini et al. 2008, FRDC Project 2014"	Not sure	No	AFMA - these are all part of the mixed small pelagics fishery in Australia
Anchovy	Engraulis encrasicolus	Southern Benguela	29	Benguela Current	Yes	"De Oliveira, J., Butterworth, D.S., Roel, B.A., Cochrane, K.L., Brown, J.P., 1998. The application of a management procedure to regulate the directed and bycatch fishery of South African sardine sardinops sagax. African Journal of Marine Science 19.
"	Not sure	No	"from Barange et al. 2009. Also see Bergh and Butterworth 1987, De Oliveira and Butterworth 2004"
Sardine	Sardinops sagax	Northern Benguela	29	Benguela Current	Yes	"De Oliveira, J., Butterworth, D.S., Roel, B.A., Cochrane, K.L., Brown, J.P., 1998. The application of a management procedure to regulate the directed and bycatch fishery of South African sardine sardinops sagax. African Journal of Marine Science 19.
"	Not sure	No	"from Barange et al. 2009. Also see Bergh and Butterworth 1987, De Oliveira and Butterworth 2004"
Benguela sardine	Sardinops sagax	Southern Benguela	29	Benguela Current	Yes	"De Oliveira, J., Butterworth, D.S., Roel, B.A., Cochrane, K.L., Brown, J.P., 1998. The application of a management procedure to regulate the directed and bycatch fishery of South African sardine sardinops sagax. African Journal of Marine Science 19.
"	Not sure	No	"from Barange et al. 2009. Also see Bergh and Butterworth 1987, De Oliveira and Butterworth 2004"
Round herring	Etrumeus whiteheadi		29	Benguela Current	Yes	"De Oliveira, J. A. A., and Butterworth, D. S. 2004. Developing and refining a joint management procedure for the multispecies South African pelagic fishery. ICES Journal of Marine Science, 61: 1432–1442. AND the above reference"	Yes	No	de Moor et al. 2011
Horse mackerel	Trachurus trachurus capensis		29	Benguela Current	Yes	"De Oliveira, J. A. A., and Butterworth, D. S. 2004. Developing and refining a joint management procedure for the multispecies South African pelagic fishery. ICES Journal of Marine Science, 61: 1432–1442. AND the above reference"	Yes	No	de Moor et al. 2011
European sprat	Sprattus sprattus	Black Sea	62	Black Sea	unknown		Not sure	Yes	from Barange et al. 2009
Black Sea (European) anchovy	Engraulis encrasicolus	Black Sea	62	Black Sea	unknown		Not sure	Yes	from Barange et al. 2009
Northern anchovy	Engraulis mordax	Central subpopulation	3	California Current	unknown		Not sure	Yes	from Barange et al. 2009
Brazilian sardine	Sardinella brasiliensis	Brazilian SE Bay	16	Eastern Brazil	unknown		Not sure	Not sure	from Barange et al. 2009
Anchoveta	Engraulis ringens	North-Central Peru	13	Humboldt Current	unknown		Not sure	Yes	from Barange et al. 2009
Anchoveta	Engraulis ringens	South Peru-North Chile	13	Humboldt Current	unknown		Not sure	Yes	from Barange et al. 2009
Humboldt sardine	Sardinops sagax	North-Central Peru	13	Humboldt Current	unknown		Not sure	Yes	from Barange et al. 2009
Humboldt sardine	Sardinops sagax	South Peru-North Chile	13	Humboldt Current	unknown		Not sure	Yes	from Barange et al. 2009
Humboldt common sardine	Sardinops sagax	Central-South Chile	13	Humboldt Current	unknown		Not sure	Yes	from Barange et al. 2009
Jack mackerel	Trachurus murphyi	Chile	13	Humboldt Current	unknown		Not sure	Yes	from Checkley et al. 2009
"Chub mackerel or ""mackerel"""	Scomber japonicus	Chile	13	Humboldt Current	unknown		Not sure	Yes	from Checkley et al. 2009
Japanese anchovy	Engraulis japonicus	NW Pacific	NA	Kuroshio-Oyashio	unknown		Not sure	No	from Barange et al. 2009
Japanese anchovy	Engraulis japonicus	Seto	47	Kuroshio-Oyashio	unknown		Not sure	No	from Barange et al. 2009
Japanese anchovy	Engraulis japonicus	Tsushima	47	Kuroshio-Oyashio	unknown		Not sure	No	from Barange et al. 2009
Japanese sardine	Sardinops melaosticus	Pacific	NA	Kuroshio-Oyashio	unknown		Not sure	No	from Checkley et al. 2009
Japanese sardine	Sardinops melaosticus	Tsushima Current	47	Kuroshio-Oyashio	unknown		Not sure	No	from Checkley et al. 2009
