Common name,Species,Stock ,LME,Location (based on SPACC designated regions),MSE / OMP built?,MSE operational in management?,Covered in ICES/PICES discussion?,Notes
Southwest Australian sardine,Sardinops sagax,Southwest Australia,43,Australia,No,Yes,No,cited in de Moor et al. 2011
Australian northern prawn,"Mixed; includes Penaeus spp., Metapenaeus spp., and Fenneropenaeus spp.",Northern Australia,39,Australia,Yes,Probably,No,got from citations in awesome de Moor paper (Who also cites Punt 2006 table of MSE fisheries)
Pacific sardine,Sardinops sagax,Northern subpopulation,3,California Current,Yes,Not sure,Yes,from Barange et al. 2009
Small pelagic fishery (includes spps higlighted in green below),"Mixed; includes redbait Emmelichthys nitidus, blue mackerel Scomber australasicus, jack mackerel Tachurus declivis, Trachurus murphyi, Australian sardine sardinops sagax",Multiple stocks; Australian Fishing Zone (AFZ): south coast of Australia and Tasmania,NA,Australia,Yes,Not sure,No,Giannini et al. 2008 (report) - component species listed below!
Australia sardine,Sardinops sagax,East,NA,Australia,Yes,Not sure,No,AFMA - these are all part of the mixed small pelagics fishery in Australia
Blue mackerel,Scomber australasicus,East,NA,Australia,Yes,Not sure,No,AFMA - these are all part of the mixed small pelagics fishery in Australia
Blue mackerel,Scomber australasicus,West,NA,Australia,Yes,Not sure,No,AFMA - these are all part of the mixed small pelagics fishery in Australia
Jack mackerel,Trachurus declivis,East,NA,Australia,Yes,Not sure,No,AFMA - these are all part of the mixed small pelagics fishery in Australia
Jack mackerel,Trachurus declivis,West,NA,Australia,Yes,Not sure,No,AFMA - these are all part of the mixed small pelagics fishery in Australia
Redbait ,Emmelichthys nitidus,East,NA,Australia,Yes,Not sure,No,AFMA - these are all part of the mixed small pelagics fishery in Australia
Redbait ,Emmelichthys nitidus,West,NA,Australia,Yes,Not sure,No,AFMA - these are all part of the mixed small pelagics fishery in Australia
Anchovy,Engraulis encrasicolus,Southern Benguela,29,Benguela Current,Yes,Not sure,No,"from Barange et al. 2009. Also see Bergh and Butterworth 1987, De Oliveira and Butterworth 2004"
Sardine,Sardinops sagax,Northern Benguela,29,Benguela Current,Yes,Not sure,No,"from Barange et al. 2009. Also see Bergh and Butterworth 1987, De Oliveira and Butterworth 2004"
Benguela sardine,Sardinops sagax,Southern Benguela,29,Benguela Current,Yes,Not sure,No,"from Barange et al. 2009. Also see Bergh and Butterworth 1987, De Oliveira and Butterworth 2004"
Round herring,Etrumeus whiteheadi,,29,Benguela Current,Yes,Yes,No,de Moor et al. 2011
Horse mackerel,Trachurus trachurus capensis,,29,Benguela Current,Yes,Yes,No,de Moor et al. 2011
European sprat,Sprattus sprattus,Black Sea,62,Black Sea,unknown,Not sure,Yes,from Barange et al. 2009
Black Sea (European) anchovy,Engraulis encrasicolus,Black Sea,62,Black Sea,unknown,Not sure,Yes,from Barange et al. 2009
