Common name,Species,Stock ,LME,Location (based on SPACC designated regions),MSE / OMP built?,AEP,MSE built citation,MSE operational in management?,Operational in management citation,Covered in ICES/PICES discussion?,Notes,Justification,,,,,,,,,,,,,,,,
Southwest Australian sardine,Sardinops sagax,Southwest Australia,43,Australia,No,,NA,No,de Moor et al. (2011),No,cited in de Moor et al. 2011,,,,,,,,,,,,,,,,,
Australian northern prawn,"Mixed; includes Penaeus spp., Metapenaeus spp., and Fenneropenaeus spp.",Northern Australia,39,Australia,Yes,,Dichmont et al. 2006,Yes,,No,got from citations in awesome de Moor paper (Who also cites Punt 2006 table of MSE fisheries),,,,,,,,,,,,,,,,,
Pacific sardine,Sardinops sagax,Northern subpopulation,3,California Current,Yes,,"Hurtado-Ferro, F., Punt, A.E., 2014. Revised Analyses Related to Pacific Sardine Harvest Parameters. Pacific Fishery Management Council, 7700 NE Ambassador Place, Portland, OR. AND Pacific Fishery Management Council, Amendment 8 to the northern anchovy fishery management plan , 1998Portland, ORPacific Fishery Management Council http://www.pcouncil.org/coastal-pelagic-species/fishery-management-plan-and-amendments/",Not sure,,Yes,from Barange et al. 2009,,,,,,,,,,,,,,,,,
Small pelagic fishery (includes spps higlighted in green below),"Mixed; includes redbait Emmelichthys nitidus, blue mackerel Scomber australasicus, jack mackerel Tachurus declivis, Trachurus murphyi, Australian sardine sardinops sagax",Multiple stocks; Australian Fishing Zone (AFZ): south coast of Australia and Tasmania,41,Australia,Yes,,Smith et al. ,Not sure,,No,Giannini et al. 2008 (report) - component species listed below!,,,,,,,,,,,,,,,,,
Australia sardine,Sardinops sagax,East,41,Australia,Yes,,"Giannini et al. 2008, FRDC Project 2008",Not sure,,No,AFMA - these are all part of the mixed small pelagics fishery in Australia,,,,,,,,,,,,,,,,,
Blue mackerel,Scomber australasicus,East,41,Australia,Yes,,"Giannini et al. 2008, FRDC Project 2009",Not sure,,No,AFMA - these are all part of the mixed small pelagics fishery in Australia,,,,,,,,,,,,,,,,,
Blue mackerel,Scomber australasicus,West,44,Australia,Yes,,"Giannini et al. 2008, FRDC Project 2010",Not sure,,No,AFMA - these are all part of the mixed small pelagics fishery in Australia,,,,,,,,,,,,,,,,,
Jack mackerel,Trachurus declivis,East,41,Australia,Yes,,"Giannini et al. 2008, FRDC Project 2011",Not sure,,No,AFMA - these are all part of the mixed small pelagics fishery in Australia,,,,,,,,,,,,,,,,,
Jack mackerel,Trachurus declivis,West,44,Australia,Yes,,"Giannini et al. 2008, FRDC Project 2012",Not sure,,No,AFMA - these are all part of the mixed small pelagics fishery in Australia,,,,,,,,,,,,,,,,,
Redbait ,Emmelichthys nitidus,East,41,Australia,Yes,,"Giannini et al. 2008, FRDC Project 2013",Not sure,,No,AFMA - these are all part of the mixed small pelagics fishery in Australia,,,,,,,,,,,,,,,,,
Redbait ,Emmelichthys nitidus,West,44,Australia,Yes,,"Giannini et al. 2008, FRDC Project 2014",Not sure,,No,AFMA - these are all part of the mixed small pelagics fishery in Australia,,,,,,,,,,,,,,,,,
Anchovy,Engraulis encrasicolus,Southern Benguela,29,Benguela Current,Yes,,"de Moor and Butterworth (2016) Incorporating technological interactions in a joint management procedure for South African sardine and anchovy.  Chapter 11. Edwards and Dankel (eds). Management Science in Fisheries.   de Moor et al. 2011. Is the Management Procedure approach equipped to handle short-lived pelagic species with their boom and bust dynamics?  The case of the South African fishery for sardine and anchovy.  ICES JMS 68:2075-2085.     De Oliveira, J., Butterworth, D.S., Roel, B.A., Cochrane, K.L., Brown, J.P., 1998. The application of a management procedure to regulate the directed and bycatch fishery of South African sardine sardinops sagax. African Journal of Marine Science 19.",Yes,No,No,,,,,,,,,,,,,,,,,,
Benguela sardine,Sardinops sagax,Southern Benguela,29,Benguela Current,Yes,Same as above,"de Moor and Butterworth (2016) Incorporating technological interactions in a joint management procedure for South African sardine and anchovy.  Chapter 11. Edwards and Dankel (eds). Management Science in Fisheries.   de Moor et al. 2011. Is the Management Procedure approach equipped to handle short-lived pelagic species with their boom and bust dynamics?  The case of the South African fishery for sardine and anchovy.  ICES JMS 68:2075-2085.     De Oliveira, J., Butterworth, D.S., Roel, B.A., Cochrane, K.L., Brown, J.P., 1998. The application of a management procedure to regulate the directed and bycatch fishery of South African sardine sardinops sagax. African Journal of Marine Science 19.",Yes,No,No,"from Barange et al. 2009. Also see Bergh and Butterworth 1987, De Oliveira and Butterworth 2004",,,,,,,,,,,,,,,,,
Round herring,Etrumeus whiteheadi,,29,Benguela Current,No,,,No,No,No,,,,,,,,,,,,,,,,,,
Horse mackerel,Trachurus trachurus capensis,,29,Benguela Current,Yes,Not sure,"Furman, L.B. 2014. Using Management Strategy Evaluation to address problems arising as a result of competing users of the South African horse mackerel resource.  MSc Thesis, University of Cape Town. Viii+132pp",Yes,,No,"Furman, L.B. 2014. Using Management Strategy Evaluation to address problems arising as a result of competing users of the South African horse mackerel resource.  MSc Thesis, University of Cape Town. Viii+132pp",,,,,,,,,,,,,,,,,
European sprat,Sprattus sprattus,Black Sea,62,Black Sea,unknown,,NA,Not sure,,Yes,from Barange et al. 2009,,,,,,,,,,,,,,,,,
Black Sea (European) anchovy,Engraulis encrasicolus,Black Sea,62,Black Sea,unknown,,NA,Not sure,,Yes,from Barange et al. 2009,,,,,,,,,,,,,,,,,
Northern anchovy,Engraulis mordax,Central subpopulation,3,California Current,unknown,"Yes, an early MacCall one I think",NA,Not sure,,Yes,from Barange et al. 2009,,,,,,,,,,,,,,,,,
Brazilian sardine,Sardinella brasiliensis,Brazilian SE Bay ,16,Eastern Brazil,unknown,,NA,Not sure,,Not sure,from Barange et al. 2009,,,,,,,,,,,,,,,,,
Anchoveta,Engraulis ringens,North-Central Peru,13,Humboldt Current,unknown,,NA,Not sure,,Yes,from Barange et al. 2009,,,,,,,,,,,,,,,,,
Anchoveta,Engraulis ringens,South Peru-North Chile,13,Humboldt Current,unknown,,NA,Not sure,,Yes,from Barange et al. 2009,,,,,,,,,,,,,,,,,
Humboldt sardine,Sardinops sagax,North-Central Peru,13,Humboldt Current,unknown,,NA,Not sure,,Yes,from Barange et al. 2009,,,,,,,,,,,,,,,,,
Humboldt sardine,Sardinops sagax,South Peru-North Chile,13,Humboldt Current,unknown,,NA,Not sure,,Yes,from Barange et al. 2009,,,,,,,,,,,,,,,,,
Humboldt common sardine,Sardinops sagax,Central-South Chile,13,Humboldt Current,unknown,,NA,Not sure,,Yes,from Barange et al. 2009,,,,,,,,,,,,,,,,,
Jack mackerel,Trachurus murphyi,Chile,13,Humboldt Current,unknown,Need to check with Canales?,NA,Not sure,,Yes,from Checkley et al. 2009,,,,,,,,,,,,,,,,,
