"Land Area","Ocean Area","Species","Scientific name","2019","S_2019"
"Africa","Marine areas","Atlantic chub mackerel","Scomber colias","303518.157",""
"Africa","Marine areas","Atlantic flyingfish","Cheilopogon melanurus","335",""
"Africa","Marine areas","Atlantic horse mackerel","Trachurus trachurus","94",""
"Africa","Marine areas","Atlantic mackerel","Scomber scombrus","3225.864","F"
"Africa","Marine areas","Cape horse mackerel","Trachurus capensis","323186.653",""
"Africa","Marine areas","Cunene horse mackerel","Trachurus trecae","78271.898",""
"Africa","Marine areas","False scad","Caranx rhonchus","5867.94",""
"Africa","Marine areas","Flyingfishes nei","Exocoetidae","2276.395",""
"Africa","Marine areas","Anchovies, etc. nei","Engraulidae","1810","F"
"Africa","Marine areas","Bonga shad","Ethmalosa fimbriata","383483.812",""
"Africa","Marine areas","Buccaneer anchovy","Encrasicholina punctifer","6660",""
"Africa","Marine areas","Clupeoids nei","Clupeoidei","10169.51","F"
"Africa","Marine areas","European anchovy","Engraulis encrasicolus","92830.871",""
"Africa","Marine areas","European pilchard(=Sardine)","Sardina pilchardus","1243004.487",""
"Africa","Marine areas","Madeiran sardinella","Sardinella maderensis","132854.02",""
"Africa","Marine areas","Round sardinella","Sardinella aurita","185588.809",""
"Africa","Marine areas","Sardinellas nei","Sardinella spp","608515.068",""
"Africa","Marine areas","Southern African anchovy","Engraulis capensis","164713.01",""
"Africa","Marine areas","Southern African pilchard","Sardinops ocellatus","5272.498",""
"Africa","Marine areas","Whitefin wolf-herring","Chirocentrus nudus","654",""
"Africa","Marine areas","Whitehead's round herring","Etrumeus whiteheadi","47438.902",""
"Africa","Marine areas","Wolf-herrings nei","Chirocentrus spp","260","F"
"Africa","Marine areas","Indian mackerel","Rastrelliger kanagurta","8143.32",""
"Africa","Marine areas","Indian mackerels nei","Rastrelliger spp","160","F"
"Africa","Marine areas","Jack and horse mackerels nei","Trachurus spp","83947.061",""
"Africa","Marine areas","Mackerels nei","Scombridae","4548.324",""
"Africa","Marine areas","Mediterranean horse mackerel","Trachurus mediterraneus","400",""
"Africa","Marine areas","Pacific chub mackerel","Scomber japonicus","66.53",""
