commonname,scientificname,areaname,region,LME,MSE / OMP built?,MSE built citation,MSE operational in management?,Operational in management citation
Pacific herring,Clupea pallasii,Prince William Sound,US Alaska,1,No,NA,No,NA
Pacific herring,Clupea pallasii,Togiak District,US Alaska,1,No,NA,No,NA
Pacific herring,Clupea pallasii,Sitka,US Alaska,2,No,NA,No,NA
Eulachon,Thaleichthys pacificus,Pacific Coast of Canada Central Coast Designatable Unit,Canada West Coast,2,unknown,NA,No,NA
Eulachon,Thaleichthys pacificus,Pacific Coast of Canada Fraser River Designatable Unit,Canada West Coast,2,unknown,NA,No,NA
Eulachon,Thaleichthys pacificus,Pacific Coast of Canada Nass / Skeena Designatable Unit,Canada West Coast,2,unknown,NA,No,NA
Pacific herring,Clupea pallasii,Central Coast,Canada West Coast,2,unknown,NA,No,NA
Pacific herring,Clupea pallasii,Prince Rupert District,Canada West Coast,2,unknown,NA,No,NA
Pacific herring,Clupea pallasii,Queen Charlotte Islands,Canada West Coast,2,unknown,NA,No,NA
Pacific sardine,Sardinops sagax,Pacific Coast of Canada,Canada West Coast,2,unknown,NA,No,NA
Pacific herring,Clupea pallasii,Strait of Georgia,Canada West Coast,2,Yes,"Cleary, J.S., Cox, S.P., Schweigert, J.F., 2010. Performance evaluation of harvest control rules for Pacific herring management in British Columbia, Canada. Ices Journal of Marine Science 67, 2005–2011. https://doi.org/10.1093/icesjms/fsq129",Not sure,NA
Pacific herring,Clupea pallasii,West Coast of Vancouver Island,Canada West Coast,2,Yes,"Cleary, J.S., Cox, S.P., Schweigert, J.F., 2010. Performance evaluation of harvest control rules for Pacific herring management in British Columbia, Canada. Ices Journal of Marine Science 67, 2005–2011. https://doi.org/10.1093/icesjms/fsq129",Not sure,NA
Gulf menhaden,Brevoortia patronus,Gulf of Mexico,US Southeast and Gulf,3,unknown,NA,No,NA
Pacific chub mackerel,Scomber japonicus,Pacific Coast,US West Coast,3,No,NA,No,NA
Northern anchovy,Engraulis mordax,Central subpopulation,,3,unknown,NA,Not sure,
Pacific sardine,Sardinops sagax,Pacific Coast,US West Coast,3,Yes,"Hurtado-Ferro, F., Punt, A.E., 2014. Revised Analyses Related to Pacific Sardine Harvest Parameters. Pacific Fishery Management Council, 7700 NE Ambassador Place, Portland, OR. AND Pacific Fishery Management Council, Amendment 8 to the northern anchovy fishery management plan , 1998Portland, ORPacific Fishery Management Council http://www.pcouncil.org/coastal-pelagic-species/fishery-management-plan-and-amendments/",Not sure,NA
Pacific hake,Merluccius productus,California current,,3,Yes,,Not sure,
